Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000134755,DSC2,Gene Expression,0.2791257664165433,0.0,0.0,5390,0.6341965005182314,1404
ENSG00000189001,SBSN,Gene Expression,0.275139575954266,0.0,0.0,16951,1.0190055999378402,1744
ENSG00000167656,LY6D,Gene Expression,0.2722006054087353,0.0,0.0,14486,0.8120143362908798,1607
ENSG00000203783,PRR9,Gene Expression,0.2601595373482179,0.0,0.0,423,0.05908825346673059,192
ENSG00000272398,CD24,Gene Expression,0.25743092362542536,0.0,0.0,8474,1.1310178305793104,1942
ENSG00000165474,GJB2,Gene Expression,0.25389129809984945,0.0,0.0,15845,1.4259665516604099,2115
ENSG00000112378,PERP,Gene Expression,0.24852257039713235,0.0,0.0,29358,2.3790433205177544,2581
ENSG00000241343,RPL36A,Gene Expression,0.24694035786862847,0.0,0.0,12347,0.7649398791726363,1622
ENSG00000105372,RPS19,Gene Expression,0.24633807305502248,0.0,0.0,21401,1.6792528068985428,2335
ENSG00000143947,RPS27A,Gene Expression,0.24607684691792994,0.0,0.0,17076,1.0892890764140088,1929
ENSG00000233927,RPS28,Gene Expression,0.24589421285770527,0.0,0.0,33457,2.8262034754566465,2747
ENSG00000105427,CNFN,Gene Expression,0.24438052838078733,0.0,0.0,13110,0.9721602612567171,1668
ENSG00000081277,PKP1,Gene Expression,0.24090293205518667,0.0,0.0,10835,1.3590656078953363,2140
ENSG00000177600,RPLP2,Gene Expression,0.2380858764556363,0.0,0.0,22436,1.8509169163622157,2437
ENSG00000170476,MZB1,Gene Expression,0.23518244439100336,0.0,0.0,2067,0.35141009964976827,833
ENSG00000012223,LTF,Gene Expression,0.2349383004284177,0.0,0.0,2224,0.1977740581458226,492
ENSG00000167779,IGFBP6,Gene Expression,0.23416439009038065,0.0,0.0,1841,0.5029223513881497,1039
ENSG00000115268,RPS15,Gene Expression,0.2332377561240582,0.0,0.0,9785,0.6009542068050454,1391
ENSG00000025708,TYMP,Gene Expression,0.23112826380527401,0.0,0.0,9362,1.9938057453101972,2565
ENSG00000115457,IGFBP2,Gene Expression,0.23101804745182122,0.0,0.0,2196,0.4704184828565881,1054
ENSG00000130255,RPL36,Gene Expression,0.22984466224403993,0.0,0.0,19998,1.6869739421198533,2380
ENSG00000198938,MT-CO3,Gene Expression,0.22939202724727167,0.0,0.0,51081,6.5441199709002,3199
ENSG00000165272,AQP3,Gene Expression,0.2292961856754934,0.0,0.0,16137,1.0319391088766148,1902
ENSG00000187608,ISG15,Gene Expression,0.22902772455243015,0.0,0.0,3649,0.5398905694911783,1406
ENSG00000121552,CSTA,Gene Expression,0.22897016059575653,0.0,0.0,18204,1.0793217896721627,1878
ENSG00000163202,LCE3D,Gene Expression,0.22768575373570915,0.0,0.0,7047,0.591102724206304,1200
ENSG00000145423,SFRP2,Gene Expression,0.2268508134340928,0.0,0.0,2528,0.7374070822484956,1339
ENSG00000140988,RPS2,Gene Expression,0.22607694455006236,0.0,0.0,15134,1.1317484387963452,1988
ENSG00000182774,RPS17,Gene Expression,0.22087548768079462,0.0,0.0,13509,1.1580037720850753,2062
ENSG00000133112,TPT1,Gene Expression,0.22023806667771317,0.0,0.0,29275,2.5932390369253873,2709
ENSG00000145824,CXCL14,Gene Expression,0.21749058819301834,0.0,0.0,10711,2.172377112373961,2591
ENSG00000167553,TUBA1C,Gene Expression,0.21666932437684747,0.0,0.0,6994,0.7120512625929076,1621
ENSG00000169509,CRCT1,Gene Expression,0.2157796652709864,0.0,0.0,2735,0.3184538289737537,754
ENSG00000161249,DMKN,Gene Expression,0.21561979961799574,0.0,0.0,33203,2.108665419331914,2539
ENSG00000142534,RPS11,Gene Expression,0.2154761183293501,0.0,0.0,14481,1.345601946183724,2167
ENSG00000211893,IGHG2,Gene Expression,0.21506603414727876,0.0,0.0,542,0.060360865031170316,238
ENSG00000162572,SCNN1D,Gene Expression,0.21401108003315888,0.0,0.0,399,0.07216993088401276,220
ENSG00000109475,RPL34,Gene Expression,0.21275991940797803,0.0,0.0,16380,1.2865952250558488,2160
ENSG00000160213,CSTB,Gene Expression,0.21027526845282318,0.0,0.0,15306,0.9251707684289259,1761
ENSG00000164587,RPS14,Gene Expression,0.2102182008655926,0.0,0.0,15214,1.27249662107952,2101
ENSG00000241794,SPRR2A,Gene Expression,0.20987631207376325,0.0,0.0,10400,0.7091781983368768,1464
ENSG00000171401,KRT13,Gene Expression,0.2097576887892038,0.0,0.0,362,0.06168052212556679,230
ENSG00000180879,SSR4,Gene Expression,0.20974281572080844,0.0,0.0,4268,0.5114342801911229,1309
ENSG00000165949,IFI27,Gene Expression,0.20923685534785727,0.0,0.0,22491,2.357253697471049,2641
ENSG00000172551,MUCL1,Gene Expression,0.20737661500612067,0.0,0.0,523,0.07941387464253334,219
ENSG00000265681,RPL17,Gene Expression,0.20733199790057508,0.0,0.0,16556,1.1809857420396792,2015
ENSG00000008988,RPS20,Gene Expression,0.20630467390941687,0.0,0.0,6227,0.4265109804660997,1234
ENSG00000173801,JUP,Gene Expression,0.20603366550261923,0.0,0.0,9171,0.7611563067648683,1632
ENSG00000173372,C1QA,Gene Expression,0.20492639212282604,0.0,0.0,5641,1.6876412775423288,2342
ENSG00000108518,PFN1,Gene Expression,0.20411423214767316,0.0,0.0,14086,2.556179757793945,2739
ENSG00000106211,HSPB1,Gene Expression,0.20294924864203603,0.0,0.0,19460,2.00121077500257,2515
ENSG00000198242,RPL23A,Gene Expression,0.20264622741142357,0.0,0.0,8735,0.6164513556631569,1467
ENSG00000058085,LAMC2,Gene Expression,0.20210068477526028,0.0,0.0,1842,0.3740325206099204,903
ENSG00000089157,RPLP0,Gene Expression,0.2014246666580135,0.0,0.0,17193,1.4946181778727377,2248
ENSG00000115461,IGFBP5,Gene Expression,0.20001495055063795,0.0,0.0,2017,0.5707606175232347,1183
ENSG00000019582,CD74,Gene Expression,0.198723205050657,0.0,0.0,11384,1.5226600348332815,2265
ENSG00000124614,RPS10,Gene Expression,0.19829998505236526,0.0,0.0,8566,0.6536595736050029,1573
ENSG00000136235,GPNMB,Gene Expression,0.19774862502761925,0.0,0.0,4048,0.7089139195403441,1541
ENSG00000166710,B2M,Gene Expression,0.19774825396155526,0.0,0.0,52918,7.482161120714178,3205
ENSG00000034510,TMSB10,Gene Expression,0.19603383321611936,0.0,0.0,25341,4.234220494599498,3058
ENSG00000187514,PTMA,Gene Expression,0.19564364672765946,0.0,0.0,19922,3.435337671083906,2955
ENSG00000206073,SERPINB4,Gene Expression,0.19330045265283743,0.0,0.0,5738,0.33675136592033783,985
ENSG00000183696,UPP1,Gene Expression,0.19205852811957594,0.0,0.0,854,0.14170200042062558,458
ENSG00000142541,RPL13A,Gene Expression,0.19182985669869265,0.0,0.0,22547,2.1915234089548594,2588
ENSG00000140519,RHCG,Gene Expression,0.1898112067009309,0.0,0.0,1137,0.13388761421267806,467
ENSG00000177954,RPS27,Gene Expression,0.18923808013011864,0.0,0.0,20519,2.0753412379461667,2569
ENSG00000182600,SNORC,Gene Expression,0.18824758164232988,0.0,0.0,75,0.029884989430552254,54
ENSG00000100316,RPL3,Gene Expression,0.18784982403073433,0.0,0.0,15050,1.4254139006372872,2246
ENSG00000108298,RPL19,Gene Expression,0.1871345831244553,0.0,0.0,13935,1.0295979068962677,1948
ENSG00000138326,RPS24,Gene Expression,0.18549594658661595,0.0,0.0,16811,1.2413316333977316,2143
ENSG00000075624,ACTB,Gene Expression,0.18458438462911186,0.0,0.0,27293,4.058442588900429,3004
ENSG00000189334,S100A14,Gene Expression,0.18276420950786726,0.0,0.0,7265,0.4849009911439357,1269
ENSG00000156508,EEF1A1,Gene Expression,0.18144566700174092,0.0,0.0,45354,4.606851118772007,3078
