Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000171858,RPS21,Gene Expression,0.3250920828341653,0.0,0.0,17822,1.3726218756738033,2332
ENSG00000167553,TUBA1C,Gene Expression,0.32468516518320245,0.0,0.0,9538,0.9353750493557792,1958
ENSG00000187608,ISG15,Gene Expression,0.32441784330449314,0.0,0.0,5280,0.6121898235677512,1616
ENSG00000189001,SBSN,Gene Expression,0.32257444424280146,0.0,0.0,8384,0.6230828814712716,1364
ENSG00000145824,CXCL14,Gene Expression,0.32151037667239624,0.0,0.0,23219,4.083228324739817,3192
ENSG00000105427,CNFN,Gene Expression,0.318901659924256,0.0,0.0,6257,0.6306232814830809,1269
ENSG00000160862,AZGP1,Gene Expression,0.31621507653764264,0.0,0.0,330,0.12044129902503993,172
ENSG00000272398,CD24,Gene Expression,0.31313107564968534,0.0,0.0,7837,0.8758325975881586,1829
ENSG00000165949,IFI27,Gene Expression,0.3078683863425231,0.0,0.0,23094,2.2818391530850395,2722
ENSG00000108821,COL1A1,Gene Expression,0.3073487597453717,0.0,0.0,14826,3.6670868980044222,3014
ENSG00000025708,TYMP,Gene Expression,0.30194141606151814,0.0,0.0,9714,1.447715710892689,2444
ENSG00000126709,IFI6,Gene Expression,0.30182917186238595,0.0,0.0,14992,1.5639042690137406,2444
ENSG00000169509,CRCT1,Gene Expression,0.30143041471366033,0.0,0.0,1590,0.21070630651702035,601
ENSG00000011465,DCN,Gene Expression,0.30071370844692985,0.0,0.0,6904,2.152913244157444,2418
ENSG00000145423,SFRP2,Gene Expression,0.29929215177663576,0.0,0.0,5114,1.631985415687447,2077
ENSG00000117394,SLC2A1,Gene Expression,0.29803484364355776,0.0,0.0,7294,0.7355679214475542,1675
ENSG00000112306,RPS12,Gene Expression,0.2877958259371238,0.0,0.0,27902,2.2665434467823045,2741
ENSG00000178363,CALML3,Gene Expression,0.28754996217476225,0.0,0.0,7242,0.5847151438905166,1516
ENSG00000012223,LTF,Gene Expression,0.2817023915912908,0.0,0.0,1281,0.20870704282655725,377
ENSG00000234745,HLA-B,Gene Expression,0.27805716836176286,0.0,0.0,72146,10.708102426842819,3592
ENSG00000058085,LAMC2,Gene Expression,0.27783575983870235,0.0,0.0,4718,0.5398868935298757,1320
ENSG00000171401,KRT13,Gene Expression,0.2768596383177648,0.0,0.0,990,0.10760600306967884,430
ENSG00000205076,LGALS7,Gene Expression,0.2761641036040167,0.0,0.0,2937,0.13183889413078112,578
ENSG00000019582,CD74,Gene Expression,0.2755120806826813,0.0,0.0,16971,2.5713969787109154,2884
ENSG00000167656,LY6D,Gene Expression,0.27106345407265786,0.0,0.0,10546,0.5756129778734032,1348
ENSG00000121552,CSTA,Gene Expression,0.27105184836810586,0.0,0.0,10080,0.7360900715503103,1630
ENSG00000160213,CSTB,Gene Expression,0.2707975941259411,0.0,0.0,11655,0.8605675930363303,1863
ENSG00000163202,LCE3D,Gene Expression,0.2695910229698313,0.0,0.0,2613,0.3004620033926951,849
ENSG00000125730,C3,Gene Expression,0.26752961812024045,0.0,0.0,1722,0.6241739929409952,877
ENSG00000065618,COL17A1,Gene Expression,0.26732755253859314,0.0,0.0,7132,0.7202284945599796,1689
ENSG00000108518,PFN1,Gene Expression,0.2654511507038729,0.0,0.0,16399,2.3131312524588075,2813
ENSG00000115268,RPS15,Gene Expression,0.26437576745978336,0.0,0.0,9958,0.6911432800610946,1693
ENSG00000145592,RPL37,Gene Expression,0.2580605779347779,0.0,0.0,26729,2.325498949030684,2782
ENSG00000137818,RPLP1,Gene Expression,0.2567758227781235,0.0,0.0,39352,3.5366216753947706,3129
ENSG00000161249,DMKN,Gene Expression,0.2539382065792841,0.0,0.0,17406,1.2616746238512633,2130
ENSG00000169245,CXCL10,Gene Expression,0.2527505770293415,0.0,0.0,2625,0.2797174991536769,896
ENSG00000213741,RPS29,Gene Expression,0.2509745696476152,0.0,0.0,26685,2.5710274731475518,2891
ENSG00000136235,GPNMB,Gene Expression,0.24817485593714178,0.0,0.0,7440,0.985188072377294,1982
ENSG00000091986,CCDC80,Gene Expression,0.247758359462876,0.0,0.0,1508,0.584131126999041,938
ENSG00000180879,SSR4,Gene Expression,0.24704260309103213,0.0,0.0,6836,0.8966534909715655,1833
ENSG00000241794,SPRR2A,Gene Expression,0.24671161113802134,0.0,0.0,5444,0.464710135307519,1132
ENSG00000141753,IGFBP4,Gene Expression,0.24520187336971666,0.0,0.0,5237,1.507058392846962,2234
ENSG00000143947,RPS27A,Gene Expression,0.2447843102832577,0.0,0.0,17079,1.3647084288620457,2304
